"judgmentfile","nc"
"200400000012004_1.pdf","2004:SHC:41"
"202100000012005_1.pdf","2005:SHC:50"
"203100000062009_1.pdf","2009:SHC:6"
"200100000062015_8.pdf","2016:SHC:103"
"203100000152007_1.pdf","2007:SHC:37"
"201100000162008_1.pdf","2009:SHC:34"
"201100000212008_1.pdf","2009:SHC:38"
"201300000152014_6.pdf","2015:SHC:158"
"201300000182015_12.pdf","2016:SHC:138"
"201500000022022_5.pdf","2023:SHC:19"
"201900000022005_1.pdf","2005:SHC:10"
"201100000492005_1.pdf","2006:SHC:2"
"201700000012009_1.pdf","2009:SHC:30"
"200200000022016_1.pdf","2016:SHC:108"
"201100000192007_1.pdf","2007:SHC:43"
"201100000242006_1.pdf","2009:SHC:60"
"201300000222014_6.pdf","2015:SHC:162"
"202200000192016_2.pdf","2016:SHC:145"
"201100000102019_15.pdf","2020:SHC:124"
"201500000012023_3.pdf","2023:SHC:18"
"201100000582022_3.pdf","2023:SHC:20"
"201100000222006_1.pdf","2008:SHC:8"
"202600000052010_7.pdf","2010:SHC:71"
"201300000222014_5.pdf","2015:SHC:161"
"201100000292016_2.pdf","2016:SHC:113-DB"
"202000000032016_3.pdf","2016:SHC:146"
"200100000042006_1.pdf","2008:SHC:10"
"201300000222014_4.pdf","2015:SHC:160"
"202100000102016_7.pdf","2016:SHC:115"
"201100000212016_4.pdf","2016:SHC:150"
"201100000142020_5.pdf","2020:SHC:126"
"201700000012020_3.pdf","2020:SHC:129"
"201100000312020_1.pdf","2020:SHC:132"
"200100000052006_1.pdf","2008:SHC:12"
"201100000072014_21.pdf","2015:SHC:164"
"201100000592015_11.pdf","2016:SHC:119"
"204500000042016_3.pdf","2016:SHC:154"
"201100000312020_2.pdf","2020:SHC:131"
"200100000032006_1.pdf","2008:SHC:14"
"201300000162015_3.pdf","2015:SHC:167-DB"
"201300000042016_5.pdf","2016:SHC:140"
"203100000082016_1.pdf","2016:SHC:155"
"202200000072019_9.pdf","2020:SHC:121"
"203200000092019_6.pdf","2020:SHC:137-DB"
"201100000202019_27.pdf","2023:SHC:21"
"200100000012006_1.pdf","2008:SHC:15"
"201300000142015_3.pdf","2015:SHC:171"
"201100000332015_12.pdf","2016:SHC:167"
"202200000102016_4.pdf","2016:SHC:172"
"203200000122019_5.pdf","2020:SHC:134-DB"
"203100000042009_1.pdf","2009:SHC:3"
"201300000142015_4.pdf","2015:SHC:172"
"201100000542015_15.pdf","2016:SHC:182"
"201100000592017_11.pdf","2023:SHC:23"
"200600000032009_1.pdf","2009:SHC:49"
"201300000102015_4.pdf","2015:SHC:173"
"201100000672016_3.pdf","2017:SHC:8"
"202100000172015_16.pdf","2017:SHC:129"
"201100000382017_14.pdf","2023:SHC:26"
"201100000342009_1.pdf","2009:SHC:51"
"201100000072015_7.pdf","2015:SHC:176"
"202200000142016_6.pdf","2017:SHC:11"
"201100000412015_22.pdf","2017:SHC:248-DB"
"201300000032017_5.pdf","2017:SHC:279"
"201100000422009_1.pdf","2010:SHC:2"
"202100000032015_10.pdf","2015:SHC:190"
"202100000162016_10.pdf","2017:SHC:19"
"201100000472017_8.pdf","2018:SHC:17"
"202100000022009_1.pdf","2010:SHC:12"
"201100000162009_1.pdf","2010:SHC:62"
"201100000372010_2.pdf","2010:SHC:76"
"201100000482016_5.pdf","2017:SHC:31-DB"
"201100000402014_9.pdf","2015:SHC:194"
"202100000382017_6.pdf","2018:SHC:114-DB"
"201900000012020_16.pdf","2023:SHC:27"
"201100000232010_1.pdf","2010:SHC:18"
"201100000462015_3.pdf","2015:SHC:200"
"201700000032018_2.pdf","2018:SHC:142"
"201100000092009_1.pdf","2010:SHC:35"
"201100000052015_15.pdf","2015:SHC:255"
"201100000372018_9.pdf","2019:SHC:48"
"201100000302009_1.pdf","2010:SHC:40"
"201100000432010_3.pdf","2010:SHC:74"
"201100000642015_1.pdf","2015:SHC:261-DB"
"202100000272015_11.pdf","2017:SHC:49"
"201100000152019_1.pdf","2019:SHC:69-DB"
"201100000172010_2.pdf","2010:SHC:50"
"201100000242016_1.pdf","2016:SHC:81"
"200100000162016_7.pdf","2017:SHC:50"
"201300000092016_4.pdf","2017:SHC:52"
"201300000032018_11.pdf","2019:SHC:102"
"202800000012010_4.pdf","2010:SHC:58"
"200600000032016_2.pdf","2016:SHC:109"
"200100000022016_11.pdf","2017:SHC:65"
"203100000012019_5.pdf","2019:SHC:119"
"201100000402010_2.pdf","2010:SHC:65"
"203100000062016_3.pdf","2016:SHC:132"
"200100000082016_8.pdf","2017:SHC:85"
"202100000082019_4.pdf","2019:SHC:160-DB"
"201100000102010_7.pdf","2010:SHC:51"
"201100000142010_4.pdf","2010:SHC:54"
"200100000142016_1.pdf","2016:SHC:152"
"201100000472010_1.pdf","2011:SHC:7"
"202100000012019_5.pdf","2019:SHC:200"
"201100000392010_4.pdf","2011:SHC:8"
"201100000282016_3.pdf","2016:SHC:153-DB"
"202600000032016_10.pdf","2017:SHC:87-DB"
"202200000072017_8.pdf","2017:SHC:95"
"205100000012019_10.pdf","2019:SHC:226"
"201100000072009_1.pdf","2012:SHC:6"
"201300000252015_4.pdf","2017:SHC:10"
"200600000042017_2.pdf","2017:SHC:123"
"202600000082019_9.pdf","2019:SHC:257-DB"
"201100000072013_2.pdf","2013:SHC:7"
